,Event,Category,Date,Team,Swimmer,Time
97, Event 14  Women 400 Yard Medley Relay,American,2022-02-18,Virginia,"G Walsh, A Wenger, A Walsh, K Douglass",1900-01-01 00:03:22.340
98, Event 14  Women 400 Yard Medley Relay,US Open,2022-02-18,Virginia,"G Walsh, A Wenger, A Walsh, K Douglass",1900-01-01 00:03:22.340
99, Event 14  Women 400 Yard Medley Relay,Pool,2023-03-17,Virginia,"G Walsh, A Walsh, K Douglass, A Canny",1900-01-01 00:03:22.390
100, Event 15  Women 1650 Yard Freestyle,NCAA,2017-11-18,Stanford,Katie Ledecky,1900-01-01 00:15:03.310
101, Event 15  Women 1650 Yard Freestyle,Meet,2017-03-17,Stanford,Katie Ledecky,1900-01-01 00:15:07.700
102, Event 15  Women 1650 Yard Freestyle,American,2023-03-12,A3/12/2023,Katie Ledecky,1900-01-01 00:15:01.410
103, Event 15  Women 1650 Yard Freestyle,US Open,2023-03-12,O3/12/2023,Katie Ledecky,1900-01-01 00:15:01.410
104, Event 15  Women 1650 Yard Freestyle,Pool,2013-12-07,P12/7/2013,Katie Ledecky,1900-01-01 00:15:15.170
105, Event 16  Women 200 Yard Backstroke,NCAA,2019-03-23,Wisconsin,Beata Nelson,1900-01-01 00:01:47.240
106, Event 16  Women 200 Yard Backstroke,Meet,2019-03-23,Wisconsin,Beata Nelson,1900-01-01 00:01:47.240
107, Event 16  Women 200 Yard Backstroke,American,2019-03-10,Riptide,Regan Smith,1900-01-01 00:01:47.160
108, Event 16  Women 200 Yard Backstroke,US Open,2019-03-10,Riptide,Regan Smith,1900-01-01 00:01:47.160
109, Event 16  Women 200 Yard Backstroke,Pool,2023-03-18,Stanford,Claire Curzan,1900-01-01 00:01:47.640
115, Event 17  Women 100 Yard Freestyle,NCAA,2017-03-18,Stanford,Simone Manuel,1900-01-01 00:00:45.560
116, Event 17  Women 100 Yard Freestyle,Meet,2017-03-18,Stanford,Simone Manuel,1900-01-01 00:00:45.560
117, Event 17  Women 100 Yard Freestyle,American,2017-03-18,Stanford,Simone Manuel,1900-01-01 00:00:45.560
118, Event 17  Women 100 Yard Freestyle,US Open,2017-03-18,Stanford,Simone Manuel,1900-01-01 00:00:45.560
119, Event 17  Women 100 Yard Freestyle,Pool,2023-03-18,Virginia,Gretchen Walsh,1900-01-01 00:00:45.610
125, Event 18  Women 200 Yard Breaststroke,NCAA,2023-03-18,Virginia,Kate Douglass,1900-01-01 00:02:01.290
126, Event 18  Women 200 Yard Breaststroke,Meet,2023-03-18,Virginia,Kate Douglass,1900-01-01 00:02:01.290
127, Event 18  Women 200 Yard Breaststroke,American,2023-03-18,Virginia,Kate Douglass,1900-01-01 00:02:01.290
128, Event 18  Women 200 Yard Breaststroke,US Open,2023-03-18,Virginia,Kate Douglass,1900-01-01 00:02:01.290
129, Event 18  Women 200 Yard Breaststroke,Pool,2023-03-18,Virginia,Kate Douglass,1900-01-01 00:02:01.290
135, Event 19  Women 200 Yard Butterfly,NCAA,2018-02-24,Stanford,Ella Eastin,1900-01-01 00:01:49.510
136, Event 19  Women 200 Yard Butterfly,Meet,2023-03-18,Texas,Emma Sticklen,1900-01-01 00:01:49.950
137, Event 19  Women 200 Yard Butterfly,American,2018-02-24,Stanford,Ella Eastin,1900-01-01 00:01:49.510
138, Event 19  Women 200 Yard Butterfly,US Open,2018-02-24,Stanford,Ella Eastin,1900-01-01 00:01:49.510
139, Event 19  Women 200 Yard Butterfly,Pool,2023-03-18,Texas,Emma Sticklen,1900-01-01 00:01:49.950
145, Event 21  Women 400 Yard Freestyle Relay,NCAA,2023-02-18,Virginia,"G Walsh, K Douglass, L Cuomo, A Walsh",1900-01-01 00:03:06.830
146, Event 21  Women 400 Yard Freestyle Relay,Meet,2022-03-19,Virginia,"K Douglass, A Walsh, R Tiltmann, G Walsh",1900-01-01 00:03:06.910
147, Event 21  Women 400 Yard Freestyle Relay,American,2022-03-19,Virginia,"K Douglass, A Walsh, R Tiltmann, G Walsh",1900-01-01 00:03:06.910
148, Event 21  Women 400 Yard Freestyle Relay,US Open,2022-03-19,Virginia,"K Douglass, A Walsh, R Tiltmann, G Walsh",1900-01-01 00:03:06.910
149, Event 21  Women 400 Yard Freestyle Relay,Pool,2022-02-19,Alabama,"D Petkova, M Scott, K Antoniou, C Dupre",1900-01-01 00:03:10.360
