,Event,Category,Date,Team,Swimmer,Time
100, Event 15  Men 1650 Yard Freestyle,NCAA,2020-02-22,Florida,Bobby Finke,1900-01-01 00:14:12.080
101, Event 15  Men 1650 Yard Freestyle,Meet,2021-03-27,Florida,Bobby Finke,1900-01-01 00:14:12.520
102, Event 15  Men 1650 Yard Freestyle,American,2020-02-22,Florida,Bobby Finke,1900-01-01 00:14:12.080
103, Event 15  Men 1650 Yard Freestyle,U. S. Open,2020-02-22,Florida,Bobby Finke,1900-01-01 00:14:12.080
104, Event 15  Men 1650 Yard Freestyle,Pool,2018-03-24,P3/24/2018,Anton Ipson,1900-01-01 00:14:24.430
105, Event 16  Men 200 Yard Backstroke,NCAA,2016-03-26,California,Ryan Murphy,1900-01-01 00:01:35.730
106, Event 16  Men 200 Yard Backstroke,Meet,2016-03-26,California,Ryan Murphy,1900-01-01 00:01:35.730
107, Event 16  Men 200 Yard Backstroke,American,2016-03-26,California,Ryan Murphy,1900-01-01 00:01:35.730
108, Event 16  Men 200 Yard Backstroke,U. S. Open,2016-03-26,California,Ryan Murphy,1900-01-01 00:01:35.730
109, Event 16  Men 200 Yard Backstroke,Pool,2023-03-25,California,Destin Lasco,1900-01-01 00:01:35.870
115, Event 17  Men 100 Yard Freestyle,NCAA,2018-03-24,Florida,Caeleb Dressel,1900-01-01 00:00:39.900
116, Event 17  Men 100 Yard Freestyle,Meet,2018-03-24,Florida,Caeleb Dressel,1900-01-01 00:00:39.900
117, Event 17  Men 100 Yard Freestyle,American,2018-03-24,Florida,Caeleb Dressel,1900-01-01 00:00:39.900
118, Event 17  Men 100 Yard Freestyle,U. S. Open,2018-03-24,Florida,Caeleb Dressel,1900-01-01 00:00:39.900
119, Event 17  Men 100 Yard Freestyle,Pool,2018-03-24,Florida,Caeleb Dressel,1900-01-01 00:00:39.900
125, Event 18  Men 200 Yard Breaststroke,NCAA,2023-03-25,ASU,Leon Marchand,1900-01-01 00:01:46.910
